logdet_Q,lambda_min_Q,Phi,rel_W_error,test_nll
28.269392969022533,0.7499999999999991,814.7227950402271,0.4002788701703292,9.538298340726191
28.391154268275596,0.7499999999999999,818.3650731240916,0.4301136494694425,9.602977353078803
28.609018144350127,0.7499999999999994,818.7902388578491,0.4622215732876381,9.623343019593
28.462657270246098,0.7499999999999992,818.0245458355512,0.38888421743247503,9.544765980262685
28.45398808570245,0.749999999999999,819.3803323639778,0.4188806164244471,9.543019994651596
27.820056289487763,0.7499999999999993,817.0446563365385,0.4225538044525809,9.507947179530586
27.586377390536747,0.7499999999999999,820.2990455364929,0.4446960765462478,9.547463601977634
28.024691264264767,0.7499999999999987,814.6874187595638,0.4262468689077447,9.564794838729577
27.724331477810374,0.7499999999999994,814.1073310943932,0.4122437069166333,9.560202194241896
27.511437406474037,0.7500000000000002,815.7001311513325,0.4067934632650245,9.545889927112379
28.06533749261541,0.7499999999999992,816.7966742240911,0.46333559708219924,9.590912120653622
28.634319679861285,0.7499999999999997,816.3919959886578,0.48064815675254485,9.622200462273536
28.482987403397367,0.75,812.6941146659976,0.41323268098099486,9.58464720291702
28.275371448126545,0.749999999999999,814.2188923575047,0.42396414413940847,9.588030620948757
28.78376707656456,0.7499999999999998,809.9484090685669,0.39682050104355043,9.56167756636765
29.039398117213356,0.7499999999999987,814.3447163102887,0.4498095784025399,9.63064622820533
28.766717219836472,0.7499999999999991,811.9820326155755,0.4339068497545479,9.57339868287399
28.628271511239166,0.75,811.7636436798155,0.3848883463694299,9.537687815358407
28.68611401178628,0.7499999999999993,814.5099130039891,0.3774602783744661,9.650228421302518
28.713648942991192,0.7499999999999986,815.8198801129221,0.3624788155987039,9.673473595473363
28.245247993625014,0.7499999999999996,815.9658517363384,0.34316507782831557,9.614526434465972
28.28874212331987,0.7499999999999997,812.7555202819917,0.32846345203847016,9.572449623336837
27.932967147306165,0.7499999999999993,814.7565369549019,0.3311924412475818,9.604346407827936
28.596162565416442,0.7499999999999991,815.486075773863,0.3881122143154184,9.735961793045766
28.396534767849552,0.749999999999998,819.270653266296,0.4375728922282438,9.808608255609647
28.294683563097415,0.7499999999999991,818.5443034122839,0.46534606267749107,9.715118027676372
28.072044612959843,0.7499999999999967,820.3663884972137,0.4588278990213396,9.64525350549626
28.30833250718328,0.7499999999999998,821.4120508608017,0.42231808787688635,9.651001368918836
28.8696384144655,0.7499999999999988,820.2507687427772,0.4234572067936506,9.712496362608581
28.628655030995798,0.7499999999999983,823.5763991022449,0.4686014845357444,9.70212901586151
28.639483314714745,0.7499999999999978,821.4771051147045,0.4622869294595773,9.72113799454607
28.286662465622413,0.749999999999999,820.4734607176705,0.4400465916333666,9.626231991420061
28.267329512145412,0.7499999999999996,819.7683101254597,0.4447055042878539,9.656695280624664
28.44446307206722,0.7499999999999989,819.3405969496749,0.40139970508281003,9.570451983121036
28.438447955854635,0.7499999999999996,821.2771258481781,0.42938348746100813,9.671675805646624
28.638077047164227,0.7499999999999986,820.625562202337,0.4744975187054828,9.762376990675904
29.340032035989772,0.75,825.0974377205737,0.5200201332806189,9.929166415260056
29.668667535850325,0.749999999999999,824.5971460588929,0.538384324354205,9.938708611409234
29.42068469648435,0.7499999999999976,822.9951469856088,0.531366725637876,9.878521816486971
29.334921785674435,0.7499999999999983,817.7170813806976,0.5049387440446572,9.71880209134694
29.21608456048418,0.7499999999999999,813.9933699038239,0.45663182333692315,9.696206684428919
29.090471235630357,0.7499999999999999,817.6301022034629,0.4882757111509674,9.687340260678855
29.640729035261483,0.7499999999999979,819.4241555606739,0.5645582321714693,9.750696588994725
30.042548203705042,0.749999999999999,817.483778191172,0.5321468475707377,9.777765972659703
30.3563743130873,0.7499999999999987,817.2294076543515,0.55458131020299,9.794927228740255
30.057785886307105,0.75,816.8285540319293,0.5182757136939395,9.849139232038738
30.25062232010089,0.7499999999999991,814.2754975975827,0.478222010566466,9.814711039011627
30.41399172492624,0.7499999999999987,815.59201872913,0.4510734423044374,9.880749321775165
30.64337586522899,0.7499999999999992,817.3977468690205,0.45387252026311076,9.984725343429508
30.16659933843174,0.7499999999999996,818.9202176921286,0.4574235637541499,9.890465292939272
29.770458757474753,0.75,813.6964178489251,0.41989150097536604,9.752098108991579
30.23566196304837,0.749999999999999,810.5233413350772,0.4453666584845247,9.806330845873294
29.755934891471316,0.749999999999998,813.8667990766788,0.4489028838346641,9.820594029874675
29.367173583541863,0.7499999999999994,816.681055930161,0.4360134939368934,9.80564384529624
29.622930372011457,0.7499999999999983,817.4268993174702,0.4306217213125421,9.793938284617152
29.382815411657944,0.7499999999999998,819.2835550187413,0.4363374968952346,9.808187370840082
29.113592852899927,0.7499999999999994,818.7158038620315,0.409801508278409,9.763127737304846
29.260484473426715,0.7499999999999997,818.6979086802561,0.4082752654291438,9.755097789479967
29.9279274985333,0.7500000000000001,818.8145076460532,0.42100712966306314,9.799063477306323
29.80572453828478,0.7499999999999997,821.282690964534,0.44266283164461767,9.767891668608877
29.985986088122818,0.7499999999999994,822.4175758395583,0.43313667909763237,9.740967038640452
30.258299524835934,0.7499999999999994,821.5703123016856,0.4545462490582808,9.74411485158259
30.2653759175116,0.7499999999999996,823.4150025153699,0.47700748792300907,9.822043788907658
30.260423435747825,0.7499999999999996,822.1264087660819,0.47953080400609865,9.923168389022162
30.609670121975125,0.749999999999999,820.743405364592,0.4668417914493292,9.8966483780225
30.28228072139367,0.7499999999999999,825.1101106346014,0.5040661460336855,9.977870258623733
30.501836733992832,0.7499999999999998,825.8728104535246,0.5117723349218228,9.952493767962029
30.561989026305767,0.7499999999999992,822.0117853779564,0.4748775806250564,9.836482706379496
30.180181415768047,0.7499999999999991,818.6627059772892,0.4376869047154559,9.694032211654473
30.372271687122506,0.7499999999999999,820.9357884840889,0.4414663408960072,9.773179949584787
30.376847921460378,0.7499999999999993,821.7509364462154,0.46918154332972317,9.772983722243774
29.7758343003422,0.7499999999999999,826.0047612080594,0.4751875238585901,9.83896072291975
30.206763157019875,0.7499999999999999,822.7384552253639,0.46381157979648735,9.793586549049744
30.060502803176714,0.7499999999999994,823.2329227715655,0.4879616337072243,9.79314338178647
30.381688259773494,0.7499999999999982,826.2265854959642,0.5289842397311173,9.839255264041
