Method,logdet_mean,logdet_sd,logdet_q05,logdet_q50,logdet_q95,lmin_mean,lmin_sd,lmin_q05,lmin_q50,lmin_q95,d2_bar_mean,d2_bar_sd,d2_bar_q05,d2_bar_q50,d2_bar_q95,tr_mean,tr_sd,tr_q05,tr_q50,tr_q95,Phi_mean,Phi_sd,Phi_q05,Phi_q50,Phi_q95
cone geom MALA,0.2486155518913218,0.19399329875246268,-0.0750254166193757,0.25098895681774325,0.5585947668324829,0.5867384538912256,0.07567862724888448,0.4643636471703926,0.5846200243709686,0.7140397934549055,0.33583936467502135,0.12496282977061221,0.15977466708623214,0.3209101316132126,0.561703454835144,5.761366888391763,0.19523590399588392,5.439014461384797,5.763532668636523,6.079057340174696,43.93234887516665,2.730834087476198,40.033344612843734,43.61569401344853,48.85292379024583
Euclidean MALA,0.26109303581291615,0.1947053225475893,-0.05963284306072013,0.2625059977840186,0.5766934959803633,0.5909567424106037,0.07515053676406656,0.4706078922306406,0.5891479571478202,0.7177318058322595,0.33410597945134496,0.1261982441843762,0.1594178782998659,0.316507638646262,0.5657785302488136,5.75777655041472,0.19827292202833108,5.438652984085054,5.7560887483290095,6.085774955226049,43.89162588700667,2.768657306160991,40.040141466907244,43.51713863077708,49.010390835563506
generic RMALA,0.25006026001766174,0.1937153954822508,-0.06781837269848277,0.25037951843796913,0.5649492097566838,0.5883600056934174,0.07618486869474533,0.4669556376450788,0.5864465559121362,0.718720679353904,0.33354015649950386,0.12692479656330397,0.15696471448107271,0.3168337957771882,0.5678544379542393,5.760328772176119,0.19643294028530253,5.433846359553265,5.760583484460333,6.086442867040062,43.88719233301138,2.7808804657709545,39.973476202481734,43.537164998147205,48.9583672461593
PDHMC-like,0.25374015611978956,0.1920160560813537,-0.06167144722124002,0.2551641304585536,0.5691247226340447,0.5915492489009123,0.0749880128649109,0.4706524010872987,0.5906172562449041,0.7164960232365619,0.3292828251815775,0.12171040119974966,0.15537019823322412,0.31699538440144837,0.5504740656734213,5.758242046727848,0.19445354061376538,5.4455668729357045,5.753675052627823,6.085531593634282,43.78393654185936,2.68072007559748,39.93642594160036,43.484017718181875,48.620037433507356
